Patient_ID,First_Name,Last_Name,SSN,Age,Gender,Blood_Type,Admission_Type,Diagnosis,Systolic_BP,Diastolic_BP,Heart_Rate,Glucose_Level,BMI,Readmission_Risk
PID-1000,Danielle,Johnson,282-32-3658,69,Male,AB+,Emergency,Pneumonia,104,102,67,86.64,21.9,Low
PID-1001,Donald,Garcia,759-70-1425,41,Male,A-,Urgent,Asthma,92,81,61,129.57,34.0,Low
PID-1002,Brittany,Johnson,096-28-3812,47,Male,B-,Emergency,Pneumonia,127,61,80,163.87,18.7,Low
PID-1003,William,Johnson,204-92-8929,66,Male,B-,Urgent,COPD,148,101,87,166.16,39.4,Moderate
PID-1004,Robert,Cole,285-01-2616,32,Female,O-,Urgent,Diabetes Type 2,151,106,103,196.78,19.5,Low
PID-1005,Helen,Peterson,160-28-5515,68,Male,O+,Elective,Diabetes Type 2,96,80,68,131.83,19.9,Low
PID-1006,Curtis,James,368-45-9892,21,Male,A-,Emergency,Hypertension,178,119,73,101.99,20.6,Low
PID-1007,Joseph,Williams,471-69-2046,77,Female,AB+,Emergency,Hypertension,160,103,67,148.42,19.2,Moderate
PID-1008,Teresa,Gray,566-38-5926,53,Male,A-,Urgent,Heart Failure,139,99,63,126.27,30.3,Moderate
PID-1009,Barbara,Bush,047-85-3734,71,Female,B-,Urgent,COPD,152,77,85,61.21,28.2,Moderate
PID-1010,Kendra,Galloway,876-30-1655,79,Male,A-,Emergency,Hypertension,103,90,107,142.38,29.7,Moderate
PID-1011,Norman,Chavez,855-47-2665,79,Female,O-,Urgent,Hypertension,129,80,75,64.9,34.6,Moderate
PID-1012,Mitchell,Clark,274-90-1170,70,Male,AB-,Emergency,Hypertension,113,85,84,130.31,21.5,Low
PID-1013,Chelsea,Jackson,747-32-2678,32,Male,B+,Urgent,COPD,134,60,84,67.11,39.7,Low
PID-1014,Steven,Nelson,656-89-9126,18,Male,O+,Elective,Heart Failure,97,83,70,139.09,35.5,Low
PID-1015,Jeffrey,Nguyen,787-08-3753,22,Male,AB-,Emergency,Asthma,130,87,66,92.8,36.8,Low
PID-1016,Lydia,Trujillo,411-35-1085,29,Male,O+,Elective,Hypertension,123,92,107,164.07,32.8,Low
PID-1017,Jason,Hahn,898-92-5156,61,Female,O-,Elective,Diabetes Type 2,175,86,94,86.28,28.7,Low
PID-1018,Jason,Porter,659-59-2341,64,Female,AB+,Emergency,Diabetes Type 2,167,62,60,91.99,24.0,Low
PID-1019,Joseph,Wright,575-69-4305,44,Female,O+,Urgent,Asthma,98,74,74,143.53,20.9,Low
PID-1020,Julie,Patterson,598-52-5931,68,Male,O-,Emergency,Diabetes Type 2,152,91,98,199.01,33.5,Low
PID-1021,Jeffrey,Bright,522-64-1490,40,Male,B+,Urgent,Diabetes Type 2,104,102,88,89.25,23.4,Low
PID-1022,Katelyn,Callahan,157-81-2622,49,Male,O+,Urgent,Heart Failure,160,118,81,128.79,24.9,Moderate
PID-1023,Laura,Henderson,066-50-6253,23,Female,A+,Urgent,COPD,117,87,103,146.9,22.5,Low
PID-1024,Caitlin,Mcdonald,258-71-0189,47,Female,AB-,Emergency,Asthma,151,70,87,141.72,24.4,Low
PID-1025,Erin,Wilson,550-97-4372,44,Male,A+,Urgent,Heart Failure,151,116,72,112.33,37.0,Moderate
PID-1026,Kayla,Peterson,301-56-2592,87,Female,B+,Urgent,COPD,161,86,68,178.35,24.3,High
PID-1027,Shawn,Mckay,897-93-4316,41,Female,B-,Emergency,Asthma,168,118,91,115.4,29.7,Low
PID-1028,Teresa,Gill,520-14-4890,69,Male,A+,Urgent,COPD,151,108,71,119.44,25.0,Moderate
PID-1029,Meagan,Romero,204-20-6127,73,Male,AB-,Elective,Pneumonia,170,118,108,69.79,39.5,Low
PID-1030,Kathryn,Ryan,798-68-0010,71,Male,A-,Emergency,COPD,176,96,91,114.23,21.6,Moderate
PID-1031,Carol,Burns,115-47-5039,61,Male,B+,Emergency,COPD,179,91,65,129.05,23.7,Moderate
PID-1032,John,Allen,581-11-1404,85,Male,O+,Emergency,Hypertension,144,70,76,95.95,32.1,Moderate
PID-1033,Jessica,Cabrera,779-69-2061,87,Male,AB+,Elective,Asthma,175,70,107,161.52,35.7,Moderate
PID-1034,David,Alvarez,563-22-4343,76,Female,O-,Emergency,Heart Failure,159,75,88,107.51,23.2,High
